id,phase_id,context_id,subphase_id,defect_type_id
1,1,1,1,1
2,1,1,1,2
3,1,1,1,3
4,1,1,1,4
5,1,1,1,5
6,1,1,1,6
7,1,1,1,7
8,1,1,1,8
9,1,1,1,9
10,1,1,2,1
11,1,1,2,2
12,1,1,2,3
13,1,1,2,4
14,1,1,2,5
15,1,1,2,6
16,1,1,2,7
17,1,1,2,8
18,1,1,2,9
19,1,1,3,1
20,1,1,3,2
21,1,1,3,3
22,1,1,3,4
23,1,1,3,5
24,1,1,3,6
25,1,1,3,7
26,1,1,3,8
27,1,1,3,9
28,1,1,4,1
29,1,1,4,2
30,1,1,4,3
31,1,1,4,4
32,1,1,4,5
33,1,1,4,6
34,1,1,4,7
35,1,1,4,8
36,1,1,4,9
37,1,1,5,1
38,1,1,5,2
39,1,1,5,3
40,1,1,5,4
41,1,1,5,5
42,1,1,5,6
43,1,1,5,7
44,1,1,5,8
45,1,1,5,9
46,1,1,6,1
47,1,1,6,2
48,1,1,6,3
49,1,1,6,4
50,1,1,6,5
51,1,1,6,6
52,1,1,6,7
53,1,1,6,8
54,1,1,6,9
55,1,2,1,1
56,1,2,1,2
57,1,2,1,3
58,1,2,1,4
59,1,2,1,5
60,1,2,1,6
61,1,2,1,7
62,1,2,1,8
63,1,2,1,9
64,1,2,2,1
65,1,2,2,2
66,1,2,2,3
67,1,2,2,4
68,1,2,2,5
69,1,2,2,6
70,1,2,2,7
71,1,2,2,8
72,1,2,2,9
73,1,2,3,1
74,1,2,3,2
75,1,2,3,3
76,1,2,3,4
77,1,2,3,5
78,1,2,3,6
79,1,2,3,7
80,1,2,3,8
81,1,2,3,9
82,1,2,4,1
83,1,2,4,2
84,1,2,4,3
85,1,2,4,4
86,1,2,4,5
87,1,2,4,6
88,1,2,4,7
89,1,2,4,8
90,1,2,4,9
91,1,2,5,1
92,1,2,5,2
93,1,2,5,3
94,1,2,5,4
95,1,2,5,5
96,1,2,5,6
97,1,2,5,7
98,1,2,5,8
99,1,2,5,9
100,1,2,6,1
101,1,2,6,2
102,1,2,6,3
103,1,2,6,4
104,1,2,6,5
105,1,2,6,6
106,1,2,6,7
107,1,2,6,8
108,1,2,6,9
109,1,3,1,1
110,1,3,1,2
111,1,3,1,3
112,1,3,1,4
113,1,3,1,5
114,1,3,1,6
115,1,3,1,7
116,1,3,1,8
117,1,3,1,9
118,1,3,2,1
119,1,3,2,2
120,1,3,2,3
121,1,3,2,4
122,1,3,2,5
123,1,3,2,6
124,1,3,2,7
125,1,3,2,8
126,1,3,2,9
127,1,3,3,1
128,1,3,3,2
129,1,3,3,3
130,1,3,3,4
131,1,3,3,5
132,1,3,3,6
133,1,3,3,7
134,1,3,3,8
135,1,3,3,9
136,1,3,4,1
137,1,3,4,2
138,1,3,4,3
139,1,3,4,4
140,1,3,4,5
141,1,3,4,6
142,1,3,4,7
143,1,3,4,8
144,1,3,4,9
145,1,3,5,1
146,1,3,5,2
147,1,3,5,3
148,1,3,5,4
149,1,3,5,5
150,1,3,5,6
151,1,3,5,7
152,1,3,5,8
153,1,3,5,9
154,1,3,6,1
155,1,3,6,2
156,1,3,6,3
157,1,3,6,4
158,1,3,6,5
159,1,3,6,6
160,1,3,6,7
161,1,3,6,8
162,1,3,6,9
163,1,4,1,1
164,1,4,1,2
165,1,4,1,3
166,1,4,1,4
167,1,4,1,5
168,1,4,1,6
169,1,4,1,7
170,1,4,1,8
171,1,4,1,9
172,1,4,2,1
173,1,4,2,2
174,1,4,2,3
175,1,4,2,4
176,1,4,2,5
177,1,4,2,6
178,1,4,2,7
179,1,4,2,8
180,1,4,2,9
181,1,4,3,1
182,1,4,3,2
183,1,4,3,3
184,1,4,3,4
185,1,4,3,5
186,1,4,3,6
187,1,4,3,7
188,1,4,3,8
189,1,4,3,9
190,1,4,4,1
191,1,4,4,2
192,1,4,4,3
193,1,4,4,4
194,1,4,4,5
195,1,4,4,6
196,1,4,4,7
197,1,4,4,8
198,1,4,4,9
199,1,4,5,1
200,1,4,5,2
201,1,4,5,3
202,1,4,5,4
203,1,4,5,5
204,1,4,5,6
205,1,4,5,7
206,1,4,5,8
207,1,4,5,9
208,1,4,6,1
209,1,4,6,2
210,1,4,6,3
211,1,4,6,4
212,1,4,6,5
213,1,4,6,6
214,1,4,6,7
215,1,4,6,8
216,1,4,6,9
217,1,5,1,1
218,1,5,1,2
219,1,5,1,3
220,1,5,1,4
221,1,5,1,5
222,1,5,1,6
223,1,5,1,7
224,1,5,1,8
225,1,5,1,9
226,1,5,2,1
227,1,5,2,2
228,1,5,2,3
229,1,5,2,4
230,1,5,2,5
231,1,5,2,6
232,1,5,2,7
233,1,5,2,8
234,1,5,2,9
235,1,5,3,1
236,1,5,3,2
237,1,5,3,3
238,1,5,3,4
239,1,5,3,5
240,1,5,3,6
241,1,5,3,7
242,1,5,3,8
243,1,5,3,9
244,1,5,4,1
245,1,5,4,2
246,1,5,4,3
247,1,5,4,4
248,1,5,4,5
249,1,5,4,6
250,1,5,4,7
251,1,5,4,8
252,1,5,4,9
253,1,5,5,1
254,1,5,5,2
255,1,5,5,3
256,1,5,5,4
257,1,5,5,5
258,1,5,5,6
259,1,5,5,7
260,1,5,5,8
261,1,5,5,9
262,1,5,6,1
263,1,5,6,2
264,1,5,6,3
265,1,5,6,4
266,1,5,6,5
267,1,5,6,6
268,1,5,6,7
269,1,5,6,8
270,1,5,6,9
271,2,10,10,1
272,2,10,10,2
273,2,10,10,3
274,2,10,10,4
275,2,10,10,5
276,2,10,10,6
277,2,10,10,7
278,2,10,10,8
279,2,10,10,9
280,2,10,10,10
281,2,10,10,11
282,2,10,11,1
283,2,10,11,2
284,2,10,11,3
285,2,10,11,4
286,2,10,11,5
287,2,10,11,6
288,2,10,11,7
289,2,10,11,8
290,2,10,11,9
291,2,10,11,10
292,2,10,11,11
293,2,11,12,1
294,2,11,12,2
295,2,11,12,3
296,2,11,12,4
297,2,11,12,5
298,2,11,12,6
299,2,11,12,7
300,2,11,12,8
301,2,11,12,9
302,2,11,12,10
303,2,11,12,11
304,2,11,12,12
305,2,11,12,13
306,2,12,13,14
307,2,12,13,15
